// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/serkaneren/Desktop/gitP/for-forech-parallelFor-parallelForech-benchmark/LoopsBencmark/bin/Release/netcoreapp5.0/8f970d0b-64e0-458f-b41e-e6804cb5edca
// command took 1.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/serkaneren/Desktop/gitP/for-forech-parallelFor-parallelForech-benchmark/LoopsBencmark/bin/Release/netcoreapp5.0/8f970d0b-64e0-458f-b41e-e6804cb5edca
// command took 2.39s and exited with 0
// ***** Done, took 00:00:03 (3.86 sec)   *****
// Found 2 benchmarks:
//   LoopsPerformance.ForLoop: DefaultJob
//   LoopsPerformance.ParalelForLoop: DefaultJob

// **************************
// Benchmark: LoopsPerformance.ForLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8f970d0b-64e0-458f-b41e-e6804cb5edca.dll" --benchmarkName "LoopsBencmark.LoopsPerformance.ForLoop" --job "Default" --benchmarkId 0 in /Users/serkaneren/Desktop/gitP/for-forech-parallelFor-parallelForech-benchmark/LoopsBencmark/bin/Release/netcoreapp5.0/8f970d0b-64e0-458f-b41e-e6804cb5edca/bin/Release/netcoreapp5.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.1 (CoreCLR 5.0.120.57516, CoreFX 5.0.120.57516), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 340070.00 ns, 340.0700 us/op
WorkloadJitting  1: 1 op, 579909.00 ns, 579.9090 us/op

OverheadJitting  2: 16 op, 272468.00 ns, 17.0293 us/op
WorkloadJitting  2: 16 op, 1072284.00 ns, 67.0178 us/op

WorkloadPilot    1: 16 op, 812511.00 ns, 50.7819 us/op
WorkloadPilot    2: 32 op, 1683436.00 ns, 52.6074 us/op
WorkloadPilot    3: 64 op, 3400987.00 ns, 53.1404 us/op
WorkloadPilot    4: 128 op, 6845299.00 ns, 53.4789 us/op
WorkloadPilot    5: 256 op, 14944349.00 ns, 58.3764 us/op
WorkloadPilot    6: 512 op, 33754597.00 ns, 65.9269 us/op
WorkloadPilot    7: 1024 op, 55484529.00 ns, 54.1841 us/op
WorkloadPilot    8: 2048 op, 92403411.00 ns, 45.1189 us/op
WorkloadPilot    9: 4096 op, 160784974.00 ns, 39.2541 us/op
WorkloadPilot   10: 8192 op, 265289656.00 ns, 32.3840 us/op
WorkloadPilot   11: 16384 op, 522842597.00 ns, 31.9118 us/op

OverheadWarmup   1: 16384 op, 53139.00 ns, 3.2433 ns/op
OverheadWarmup   2: 16384 op, 46574.00 ns, 2.8427 ns/op
OverheadWarmup   3: 16384 op, 50875.00 ns, 3.1052 ns/op
OverheadWarmup   4: 16384 op, 47353.00 ns, 2.8902 ns/op
OverheadWarmup   5: 16384 op, 49258.00 ns, 3.0065 ns/op
OverheadWarmup   6: 16384 op, 53909.00 ns, 3.2903 ns/op
OverheadWarmup   7: 16384 op, 46184.00 ns, 2.8188 ns/op

OverheadActual   1: 16384 op, 64270.00 ns, 3.9227 ns/op
